@relation 'winequality-white-norm-weka.filters.unsupervised.attribute.Remove-R7,9-10-weka.filters.unsupervised.attribute.NumericToNominal-R12'

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide norm' numeric
@attribute 'total sulfur dioxide norm' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {3,4,5,6,7,8,9}

@data
8.1,0.17,0.44,14.1,0.053,43000,145000,1.0006,3.28,0.75,8.8,8
7.2,0.23,0.19,13.7,0.052,47000,197000,0.99865,3.12,0.53,9,5
7.6,0.3,0.27,10.6,0.039,31000,119000,0.99815,3.27,0.3,9.3,6
7.7,0.34,0.28,11,0.04,31000,117000,0.99815,3.27,0.29,9.2,6
7.7,0.34,0.28,11,0.04,31000,117000,0.99815,3.27,0.29,9.2,6
5.8,0.34,0.16,7,0.037,26000,116000,0.9949,3.46,0.45,10,7
7.6,0.3,0.27,10.6,0.039,31000,119000,0.99815,3.27,0.3,9.3,6
7.7,0.34,0.28,11,0.04,31000,117000,0.99815,3.27,0.29,9.2,6
5.9,0.24,0.3,2,0.033,28000,92000,0.99225,3.39,0.69,10.9,7
6.4,0.46,0.08,4.9,0.046,34000,144000,0.99445,3.1,0.56,10,5
5.9,0.24,0.3,2,0.033,28000,92000,0.99225,3.39,0.69,10.9,7
7.4,0.32,0.27,1.4,0.049,38000,173000,0.99335,3.03,0.52,9.3,5
7.2,0.31,0.26,7.3,0.05,37000,157000,0.99625,3.09,0.43,9,5
7.8,0.42,0.23,8.8,0.054,42000,215000,0.9971,3.02,0.58,9.2,6
6.9,0.24,0.33,12.5,0.046,47000,153000,0.9983,3.28,0.77,9.6,6
5.4,0.18,0.24,4.8,0.041,30000,113000,0.99445,3.42,0.4,9.4,6
6,0.18,0.31,1.4,0.036,14000,75000,0.99085,3.34,0.58,11.1,8
7.8,0.27,0.58,11.2,0.036,44000,161000,0.9977,3.06,0.41,8.9,6
6,0.28,0.49,6.8,0.048,61000,222000,0.9953,3.19,0.47,9.3,5
6.8,0.39,0.35,11.6,0.044,57000,220000,0.99775,3.07,0.53,9.3,5
6.6,0.21,0.31,11.4,0.039,46000,165000,0.99795,3.41,0.44,9.8,7
7.3,0.32,0.34,6.6,0.032,24000,112000,0.99505,3.22,0.46,9.8,6
7.8,0.27,0.58,11.2,0.036,44000,161000,0.9977,3.06,0.41,8.9,6
6.4,0.31,0.26,13.2,0.046,57000,205000,0.9975,3.17,0.41,9.6,5
6.2,0.29,0.26,13.1,0.046,55000,204000,0.99745,3.16,0.41,9.6,6
6,0.39,0.17,12,0.046,65000,246000,0.9976,3.15,0.38,9,6
6.2,0.3,0.26,13.4,0.046,57000,206000,0.99775,3.17,0.43,9.5,6
6,0.28,0.49,6.8,0.048,61000,222000,0.9953,3.19,0.47,9.3,5
6,0.41,0.05,1.5,0.063,17000,120000,0.9932,3.21,0.56,9.2,6
6.4,0.35,0.28,1.1,0.055,9000,160000,0.99405,3.42,0.5,9.1,7
6.5,0.26,0.32,16.5,0.045,44000,166000,1,3.38,0.46,9.5,6
7.9,0.35,0.24,15.6,0.072,44000,229000,0.99785,3.03,0.59,10.5,6
6.2,0.3,0.17,2.8,0.04,24000,125000,0.9939,3.01,0.46,9,5
8.4,0.18,0.42,5.1,0.036,7000,77000,0.9939,3.16,0.52,11.7,5
6.6,0.56,0.22,8.9,0.034,27000,133000,0.99675,3.2,0.51,9.1,5
6.2,0.3,0.17,2.8,0.04,24000,125000,0.9939,3.01,0.46,9,5
6.6,0.56,0.22,8.9,0.034,27000,133000,0.99675,3.2,0.51,9.1,5
6.6,0.36,0.29,1.6,0.021,24000,85000,0.98965,3.41,0.61,12.4,9
7.3,0.655,0.2,10.2,0.071,28000,212000,0.9971,2.96,0.58,9.2,6
6.8,0.18,0.21,5.4,0.053,34000,104000,0.99445,3.3,0.43,9.4,5
6.7,0.19,0.23,6.2,0.047,36000,117000,0.9945,3.34,0.43,9.6,6
8.4,0.18,0.42,5.1,0.036,7000,77000,0.9939,3.16,0.52,11.7,5
7,0.21,0.37,7.2,0.042,36000,167000,0.9958,3.26,0.56,9.8,6
6.8,0.25,0.38,8.1,0.046,24000,155000,0.9956,3.33,0.59,10.2,6
7.4,0.24,0.36,2,0.031,27000,139000,0.99055,3.28,0.48,12.5,9
7.1,0.16,0.36,10.7,0.044,20000,90000,0.9959,3.16,0.44,10.9,7
7.1,0.16,0.36,1.2,0.043,21000,90000,0.9925,3.16,0.42,11,7
7.3,0.205,0.31,1.7,0.06,34000,110000,0.9963,3.72,0.69,10.5,6
7.4,0.17,0.4,5.5,0.037,34000,161000,0.9935,3.05,0.62,11.5,4
7.3,0.3,0.34,2.7,0.044,34000,108000,0.99105,3.36,0.53,12.8,8
6.9,0.25,0.34,1.3,0.035,27000,82000,0.99045,3.18,0.44,12.2,6
7.3,0.205,0.31,1.7,0.06,34000,110000,0.9963,3.72,0.69,10.5,6
7.5,0.42,0.34,4.3,0.04,34000,108000,0.99155,3.14,0.45,12.8,8
7.3,0.25,0.36,2.1,0.034,30000,177000,0.99085,3.25,0.4,11.9,8
7.3,0.25,0.36,2.1,0.034,30000,177000,0.99085,3.25,0.4,11.9,8
7.3,0.25,0.36,2.1,0.034,30000,177000,0.99085,3.25,0.4,11.9,8
7.5,0.34,0.35,6,0.034,12000,126000,0.9924,3.16,0.39,12,7
7.6,0.33,0.35,6.3,0.036,12000,126000,0.9924,3.16,0.39,12,7
8.7,0.23,0.32,13.4,0.044,35000,169000,0.99975,3.12,0.47,8.8,7
8.7,0.23,0.32,13.4,0.044,35000,169000,0.99975,3.12,0.47,8.8,7
6.9,0.19,0.35,1.7,0.036,33000,101000,0.99315,3.21,0.54,10.8,7
7.3,0.21,0.29,1.6,0.034,29000,118000,0.9917,3.3,0.5,11,8
7.3,0.21,0.29,1.6,0.034,29000,118000,0.9917,3.3,0.5,11,8
6.6,0.22,0.37,15.4,0.035,62000,153000,0.99845,3.02,0.4,9.3,5
9.2,0.34,0.27,1.2,0.026,17000,73000,0.9921,3.08,0.39,10.8,5
8.7,0.23,0.32,13.4,0.044,35000,169000,0.99975,3.12,0.47,8.8,7
6,0.2,0.24,1.8,0.03,30000,105000,0.9909,3.31,0.47,11.5,6
6.9,0.19,0.35,1.7,0.036,33000,101000,0.99315,3.21,0.54,10.8,7
8.2,0.38,0.49,13.6,0.042,58000,166000,0.99855,3.1,0.54,9.4,5
6.9,0.18,0.36,1.3,0.036,40000,117000,0.9934,3.27,0.95,9.5,7
7.7,0.34,0.58,11.1,0.039,41000,151000,0.9978,3.06,0.49,8.6,5
6.9,0.18,0.36,1.3,0.036,40000,117000,0.9934,3.27,0.95,9.5,7
7.4,0.2,0.35,2.1,0.038,30000,116000,0.9949,3.49,0.77,10.3,7
8.2,0.38,0.49,13.6,0.042,58000,166000,0.99855,3.1,0.54,9.4,5
8.2,0.4,0.48,13.7,0.042,59000,169000,0.9986,3.1,0.52,9.4,5
6.7,0.22,0.39,10.2,0.038,60000,149000,0.99725,3.17,0.54,10,7
6.6,0.3,0.3,4.8,0.17,60000,166000,0.9946,3.18,0.47,9.4,5
8.1,0.27,0.35,1.7,0.03,38000,103000,0.99255,3.22,0.63,10.4,8
7.3,0.25,0.42,14.2,0.041,57000,182000,0.9996,3.29,0.75,9.1,7
4.8,0.34,0,6.5,0.028,33000,163000,0.9939,3.36,0.61,9.9,6
6.2,0.28,0.33,1.7,0.029,24000,111000,0.99,3.24,0.5,12.1,6
4.8,0.33,0,6.5,0.028,34000,163000,0.9937,3.35,0.61,9.9,5
6.1,0.27,0.33,2.2,0.021,26000,117000,0.9886,3.12,0.3,12.5,6
6.9,0.18,0.36,1.3,0.036,40000,117000,0.9934,3.27,0.95,9.5,7
7.8,0.18,0.46,12.6,0.042,41000,143000,1,3.24,0.76,8.5,8
7.3,0.28,0.42,14.4,0.04,49000,173000,0.9994,3.28,0.82,9,7
7.3,0.24,0.29,1.2,0.037,37000,97000,0.9926,3.19,0.7,10.1,6
6,0.45,0.65,9.7,0.08,11000,159000,0.9956,3.04,0.48,9.4,5
7.7,0.34,0.58,11.1,0.039,41000,151000,0.9978,3.06,0.49,8.6,5
6.3,0.26,0.21,4,0.03,24000,125000,0.9915,3.06,0.34,10.7,6
10.3,0.17,0.47,1.4,0.037,5000,33000,0.9939,2.89,0.28,9.6,3
7.7,0.15,0.29,1.3,0.029,10000,64000,0.9932,3.35,0.39,10.1,5
7.1,0.21,0.32,2.2,0.037,28000,141000,0.993,3.2,0.57,10,7
6.9,0.36,0.34,4.2,0.018,57000,119000,0.9898,3.28,0.36,12.7,9
6,0.28,0.34,1.6,0.119,33000,104000,0.9921,3.19,0.38,10.2,6
6.2,0.16,0.54,1.4,0.126,37000,110000,0.9932,3.23,0.37,8.9,6
6.9,0.12,0.36,2.2,0.037,18000,111000,0.9919,3.41,0.82,11.9,8
7.1,0.21,0.32,2.2,0.037,28000,141000,0.993,3.2,0.57,10,7
8.8,0.36,0.44,1.9,0.04,9000,121000,0.9953,3.19,0.48,9.9,6
7.4,0.26,0.43,6,0.022,22000,125000,0.9928,3.13,0.55,11.5,6
7.4,0.26,0.43,6,0.022,22000,125000,0.9928,3.13,0.55,11.5,6
6.8,0.23,0.29,12.2,0.035,38000,236000,0.9976,3.35,0.52,9.8,6
6.1,0.34,0.27,2.6,0.024,20000,105000,0.9906,3.4,0.67,12.2,7
7.3,0.26,0.31,1.6,0.04,39000,173000,0.9918,3.19,0.51,11.4,6
6.5,0.3,0.32,2,0.044,34000,90000,0.99185,3.37,0.68,11,7
7.3,0.26,0.31,1.6,0.04,39000,173000,0.9918,3.19,0.51,11.4,6
6.5,0.3,0.32,2,0.044,34000,90000,0.99185,3.37,0.68,11,7
5,0.31,0,6.4,0.046,43000,166000,0.994,3.3,0.63,9.9,6
5.8,0.26,0.18,1.2,0.031,40000,114000,0.9908,3.42,0.4,11,7
5.9,0.26,0.3,1,0.036,38000,114000,0.9928,3.58,0.48,9.4,5
7,0.31,0.29,1.4,0.037,33000,128000,0.9896,3.12,0.36,12.2,7
5.8,0.26,0.18,1.2,0.031,40000,114000,0.9908,3.42,0.4,11,7
5.6,0.19,0.39,1.1,0.043,17000,67000,0.9918,3.23,0.53,10.3,6
6.8,0.18,0.28,8.7,0.047,52000,242000,0.9952,3.22,0.53,10.5,6
7,0.29,0.26,1.6,0.044,12000,87000,0.9923,3.08,0.46,10.5,6
6.6,0.26,0.29,1.4,0.039,13000,67000,0.9915,3.05,0.49,10.9,6
6.8,0.18,0.28,8.5,0.047,52000,242000,0.9952,3.22,0.53,10.5,6
6.6,0.2,0.38,7.9,0.052,30000,145000,0.9947,3.32,0.56,11,7
8,0.29,0.29,13.2,0.046,26000,113000,0.9983,3.25,0.37,9.7,6
6.1,0.28,0.35,12.8,0.048,63000,229000,0.9975,3.08,0.4,8.9,5
5.9,0.31,0.3,7.7,0.047,60000,206000,0.995,3.2,0.39,9.6,6
6.9,0.21,0.28,2.4,0.056,49000,159000,0.9944,3.02,0.47,8.8,8
8.4,0.19,0.42,1.6,0.047,9000,101000,0.994,3.06,0.65,11.1,4
8.3,0.27,0.45,1.3,0.048,8000,72000,0.9944,3.08,0.61,10.3,4
7.1,0.25,0.39,2.1,0.036,30000,124000,0.9908,3.28,0.43,12.2,8
8,0.23,0.37,9.6,0.054,23000,159000,0.99795,3.32,0.47,9.8,4
7.5,0.24,0.31,13,0.049,46000,217000,0.9985,3.08,0.53,8.8,5
6.3,0.33,0.2,5.8,0.04,24000,144000,0.99425,3.15,0.63,9.9,5
6.2,0.33,0.19,5.6,0.042,22000,143000,0.99425,3.15,0.63,9.9,5
6.3,0.34,0.19,5.8,0.041,22000,145000,0.9943,3.15,0.63,9.9,5
5.8,0.29,0.05,0.8,0.038,11000,30000,0.9924,3.36,0.35,9.2,5
8,0.32,0.26,1.2,0.05,11500,88000,0.9946,3.24,0.37,9.5,4
5.6,0.29,0.05,0.8,0.038,11000,30000,0.9924,3.36,0.35,9.2,5
7.4,0.13,0.39,4.7,0.042,36000,137000,0.995,3.36,0.56,10.3,7
7.7,0.3,0.32,1.6,0.037,23000,124000,0.9919,2.93,0.33,11,6
7,0.24,0.34,1.4,0.031,27000,107000,0.99,3.06,0.39,11.9,6
8.6,0.18,0.4,1.1,0.04,20000,107000,0.9923,2.94,0.32,10.2,7
7,0.11,0.32,4.6,0.057,59000,144000,0.9956,3.55,0.44,9.4,7
7.7,0.32,0.62,10.6,0.036,56000,153000,0.9978,3.13,0.44,8.9,6
7.7,0.32,0.62,10.6,0.036,56000,153000,0.9978,3.13,0.44,8.9,6
6.5,0.26,0.27,12.9,0.044,69000,215000,0.9967,3.17,0.43,10,6
7.9,0.28,0.41,2,0.044,50000,152000,0.9934,3.45,0.49,10.7,8
6.3,0.27,0.23,2.9,0.047,13000,100000,0.9936,3.28,0.43,9.8,5
5.4,0.595,0.1,2.8,0.042,26000,80000,0.9932,3.36,0.38,9.3,5
6.7,0.25,0.33,2.9,0.057,52000,173000,0.9934,3.02,0.48,9.5,7
6.5,0.25,0.35,12,0.055,47000,179000,0.998,3.58,0.47,10,5
6.1,0.36,0.58,15,0.044,42000,115000,0.9978,3.15,0.51,9,5
7.7,0.17,0.52,5.9,0.017,21000,84000,0.9929,3.14,0.4,11.9,7
6.4,0.26,0.43,12.6,0.033,64000,230000,0.9974,3.08,0.38,8.9,5
6.5,0.26,0.28,12.5,0.046,80000,225000,0.99685,3.18,0.41,10,6
5.9,0.29,0.33,7.4,0.037,58000,205000,0.99495,3.26,0.41,9.6,5
6.2,0.28,0.43,13,0.039,64000,233000,0.99745,3.08,0.38,8.9,5
6.1,0.27,0.44,6.7,0.041,61000,230000,0.99505,3.12,0.4,8.9,5
6.4,0.43,0.32,1.4,0.048,10000,67000,0.992,3.08,0.41,11.4,5
6.1,0.36,0.58,15,0.044,42000,115000,0.9978,3.15,0.51,9,5
6.2,0.35,0.29,7.3,0.044,56000,244000,0.9956,3.36,0.55,10,6
7.7,0.24,0.29,15.3,0.044,39000,194000,0.9982,3.06,0.47,9.6,7
6.2,0.34,0.28,7.5,0.034,40000,197000,0.99485,3.14,0.6,9.7,5
6.3,0.27,0.46,11.75,0.037,61000,212000,0.9971,3.25,0.53,9.5,6
5.4,0.415,0.19,1.6,0.039,27000,88000,0.99265,3.54,0.41,10,7
6.9,0.48,0.36,3.5,0.03,31000,135000,0.9904,3.14,0.38,12.2,7
6.5,0.18,0.33,8,0.051,16000,131000,0.9965,3.28,0.44,8.7,7
6.7,0.15,0.29,5,0.058,28000,105000,0.9946,3.52,0.44,10.2,7
8.2,0.345,1,18.2,0.047,55000,205000,0.99965,2.96,0.43,9.6,5
8.5,0.16,0.35,1.6,0.039,24000,147000,0.9935,2.96,0.36,10,5
6.8,0.705,0.25,3.2,0.048,10000,57000,0.996,3.36,0.52,9.5,4
7.3,0.25,0.39,6.4,0.034,8000,84000,0.9942,3.18,0.46,11.5,5
7.6,0.345,0.26,1.9,0.043,15000,134000,0.9936,3.08,0.38,9.5,5
7.6,0.22,0.34,9.7,0.035,26000,143000,0.9965,3.08,0.49,9.8,6
6.5,0.17,0.33,1.4,0.028,14000,99000,0.9928,3.23,0.55,10.1,6
8.2,0.23,0.37,1.3,0.042,39000,117000,0.9928,2.99,0.36,10,5
7.6,0.22,0.34,9.7,0.035,26000,143000,0.9965,3.08,0.49,9.8,6
7.6,0.345,0.26,1.9,0.043,15000,134000,0.9936,3.08,0.38,9.5,5
7.5,0.32,0.26,1.8,0.042,13000,133000,0.9938,3.07,0.38,9.5,5
6.6,0.23,0.32,0.9,0.041,25000,79000,0.9926,3.39,0.54,10.2,7
6.6,0.2,0.32,1.1,0.039,25000,78000,0.9926,3.39,0.54,10.2,7
7.3,0.24,0.34,15.4,0.05,38000,174000,0.9983,3.03,0.42,9,6
7.3,0.24,0.34,15.4,0.05,38000,174000,0.9983,3.03,0.42,9,6
8,0.42,0.36,5,0.037,34000,101000,0.992,3.13,0.57,12.3,7
7.3,0.24,0.34,15.4,0.05,38000,174000,0.9983,3.03,0.42,9,6
6.1,0.19,0.25,4,0.023,23000,112000,0.9923,3.37,0.51,11.6,6
5.9,0.26,0.21,12.5,0.034,36000,152000,0.9972,3.28,0.43,9.5,6
8.3,0.23,0.43,3.2,0.035,14000,101000,0.9928,3.15,0.36,11.5,5
6.5,0.34,0.28,1.8,0.041,43000,188000,0.9928,3.13,0.37,9.6,6
6.8,0.22,0.35,17.5,0.039,38000,153000,0.9994,3.24,0.42,9,6
6.5,0.08,0.33,1.9,0.028,23000,93000,0.991,3.34,0.7,12,7
5.5,0.42,0.09,1.6,0.019,18000,68000,0.9906,3.33,0.51,11.4,7
5.1,0.42,0.01,1.5,0.017,25000,102000,0.9894,3.38,0.36,12.3,7
6,0.27,0.19,1.7,0.02,24000,110000,0.9898,3.32,0.47,12.6,7
6.8,0.22,0.35,17.5,0.039,38000,153000,0.9994,3.24,0.42,9,6
6.5,0.08,0.33,1.9,0.028,23000,93000,0.991,3.34,0.7,12,7
7.1,0.13,0.38,1.8,0.046,14000,114000,0.9925,3.32,0.9,11.7,6
7.6,0.3,0.25,4.3,0.054,22000,111000,0.9956,3.12,0.49,9.2,5
6.6,0.13,0.3,4.9,0.058,47000,131000,0.9946,3.51,0.45,10.3,6
6.5,0.14,0.33,7.6,0.05,53000,189000,0.9966,3.25,0.49,8.6,5
7.7,0.28,0.33,6.7,0.037,32000,155000,0.9951,3.39,0.62,10.7,7
6,0.2,0.71,1.6,0.15,10000,54000,0.9927,3.12,0.47,9.8,5
6,0.19,0.71,1.5,0.152,9000,55000,0.9927,3.12,0.46,9.8,6
7.7,0.28,0.33,6.7,0.037,32000,155000,0.9951,3.39,0.62,10.7,7
5.1,0.39,0.21,1.7,0.027,15000,72000,0.9894,3.5,0.45,12.5,6
5.7,0.36,0.34,4.2,0.026,21000,77000,0.9907,3.41,0.45,11.9,6
6.9,0.19,0.33,1.6,0.043,63000,149000,0.9925,3.44,0.52,10.8,5
6,0.41,0.21,1.9,0.05,29000,122000,0.9928,3.42,0.52,10.5,6
7.4,0.28,0.3,5.3,0.054,44000,161000,0.9941,3.12,0.48,10.3,6
7.4,0.3,0.3,5.2,0.053,45000,163000,0.9941,3.12,0.45,10.3,6
6.9,0.19,0.33,1.6,0.043,63000,149000,0.9925,3.44,0.52,10.8,5
7.7,0.28,0.39,8.9,0.036,8000,117000,0.9935,3.06,0.38,12,7
8.6,0.16,0.38,3.4,0.04,41000,143000,0.9932,2.95,0.39,10.2,6
8.2,0.26,0.44,1.3,0.046,7000,69000,0.9944,3.14,0.62,10.2,4
6.5,0.25,0.27,15.2,0.049,75000,217000,0.9972,3.19,0.39,9.9,5
7,0.24,0.18,1.3,0.046,9000,62000,0.994,3.38,0.47,10.1,4
8.6,0.18,0.36,1.8,0.04,24000,187000,0.9956,3.25,0.55,9.5,6
7.8,0.27,0.34,1.6,0.046,27000,154000,0.9927,3.05,0.45,10.5,6
6,0.26,0.34,1.3,0.046,6000,29000,0.9924,3.29,0.63,10.4,5
6.1,0.24,0.27,9.8,0.062,33000,152000,0.9966,3.31,0.47,9.5,6
8,0.24,0.3,17.45,0.056,43000,184000,0.9997,3.05,0.5,9.2,6
7.6,0.21,0.6,2.1,0.046,47000,165000,0.9936,3.05,0.54,10.1,7
8,0.19,0.36,1.8,0.05,16000,84000,0.9936,3.15,0.45,9.8,7
6.4,0.28,0.41,6.8,0.045,61000,216000,0.9952,3.09,0.46,9.4,5
6.4,0.28,0.43,7.1,0.045,60000,221000,0.9952,3.09,0.45,9.4,6
6.9,0.24,0.39,1.3,0.063,18000,136000,0.9928,3.31,0.48,10.4,7
5.8,0.36,0.26,3.3,0.038,40000,153000,0.9911,3.34,0.55,11.3,6
6.6,0.18,0.28,3.3,0.044,18000,91000,0.993,3.42,0.64,10.8,6
5.8,0.36,0.26,3.3,0.038,40000,153000,0.9911,3.34,0.55,11.3,6
5.1,0.52,0.06,2.7,0.052,30000,79000,0.9932,3.32,0.43,9.3,5
6.6,0.22,0.37,1.2,0.059,45000,199000,0.993,3.37,0.55,10.3,7
8.3,0.15,0.39,1.3,0.055,32000,146000,0.993,3.08,0.39,10.5,6
7.6,0.16,0.44,1.4,0.043,25000,109000,0.9932,3.11,0.75,10.3,6
7.7,0.16,0.41,1.7,0.048,60000,173000,0.9932,3.24,0.66,11.2,7
8.3,0.16,0.48,1.7,0.057,31000,98000,0.9943,3.15,0.41,10.3,6
6.2,0.25,0.47,11.6,0.048,62000,210000,0.9968,3.19,0.5,9.5,5
6.1,0.16,0.27,12.6,0.064,63000,162000,0.9994,3.66,0.43,8.9,5
7.6,0.39,0.22,2.8,0.036,19000,113000,0.9926,3.03,0.29,10.2,5
6.8,0.37,0.47,11.2,0.071,44000,136000,0.9968,2.98,0.88,9.2,5
7.6,0.16,0.44,1.4,0.043,25000,109000,0.9932,3.11,0.75,10.3,6
7.1,0.18,0.42,1.4,0.045,47000,157000,0.9916,2.95,0.31,10.5,6
8.3,0.14,0.26,1.5,0.049,56000,189000,0.9946,3.21,0.62,9.5,6
8.6,0.2,0.42,1.5,0.041,35000,125000,0.9925,3.11,0.49,11.4,7
8.6,0.2,0.42,1.5,0.041,35000,125000,0.9925,3.11,0.49,11.4,7
6.8,0.19,0.32,7.05,0.019,54000,188000,0.9935,3.25,0.37,11.1,8
7.6,0.19,0.38,10.6,0.06,48000,174000,0.9962,3.13,0.38,10.5,6
6.8,0.34,0.74,2.8,0.088,23000,185000,0.9928,3.51,0.7,12,6
6.2,0.15,0.46,1.6,0.039,38000,123000,0.993,3.38,0.51,9.7,6
6.6,0.14,0.44,1.6,0.042,47000,140000,0.993,3.32,0.51,10.2,6
8,0.55,0.17,8.2,0.04,13000,60000,0.9956,3.09,0.3,9.5,4
7,0.24,0.35,1.5,0.052,51000,128000,0.9941,3.41,0.59,10.4,7
6.3,0.6,0.44,11,0.05,50000,245000,0.9972,3.19,0.57,9.3,4
7.1,0.2,0.41,2.1,0.054,24000,166000,0.9948,3.48,0.62,10.5,6
6.2,0.34,0.29,7.6,0.047,45000,232000,0.9955,3.35,0.62,10,6
7.1,0.3,0.36,6.8,0.055,44500,234000,0.9972,3.49,0.64,10.2,6
7.1,0.3,0.36,6.8,0.055,44500,234000,0.9972,3.49,0.64,10.2,6
7.9,0.64,0.46,10.6,0.244,33000,227000,0.9983,2.87,0.74,9.1,3
8.8,0.17,0.38,1.8,0.04,39000,148000,0.9942,3.16,0.67,10.2,6
7.5,0.17,0.37,1.5,0.06,18000,75000,0.9936,3.54,0.88,10.7,5
7.1,0.47,0.24,6,0.044,11000,77000,0.9956,3.21,0.56,9.7,5
7.1,0.15,0.34,5.3,0.034,33000,104000,0.9953,3.37,0.52,9.3,7
7.5,0.17,0.34,1.4,0.035,13000,102000,0.9918,3.05,0.74,11,5
8.2,0.68,0.3,2.1,0.047,17000,138000,0.995,3.22,0.71,10.8,4
7.7,0.275,0.3,1,0.039,19000,75000,0.992,3.01,0.56,10.7,5
7.3,0.49,0.32,5.2,0.043,18000,104000,0.9952,3.24,0.45,10.7,4
7.5,0.33,0.48,19.45,0.048,55000,243000,1.001,2.95,0.4,8.8,5
7.2,0.21,0.37,1.6,0.049,23000,94000,0.9924,3.16,0.48,10.9,7
7.3,0.15,0.4,2,0.05,24000,92000,0.9932,3.14,0.45,10.5,5
6.5,0.19,0.1,1.3,0.046,23000,107000,0.9937,3.29,0.45,10,5
7,0.31,0.52,1.7,0.029,5000,61000,0.9918,3.07,0.43,10.4,5
8.3,0.4,0.38,1.1,0.038,15000,75000,0.9934,3.03,0.43,9.2,5
6.1,0.37,0.36,4.7,0.035,36000,116000,0.991,3.31,0.62,12.6,6
7.3,0.24,0.34,7.5,0.048,29000,152000,0.9962,3.1,0.54,9,5
6.9,0.21,0.81,1.1,0.137,52000,123000,0.9932,3.03,0.39,9.2,6
7.6,0.29,0.42,1.3,0.035,18000,86000,0.9908,2.99,0.39,11.3,5
9.4,0.29,0.55,2.2,0.05,17000,119000,0.9962,3.12,0.69,10.3,4
7,0.31,0.52,1.7,0.029,5000,61000,0.9918,3.07,0.43,10.4,5
8.6,0.26,0.41,2.2,0.049,29000,111000,0.9941,2.96,0.44,10,5
7.5,0.21,0.34,1.2,0.06,26000,111000,0.9931,3.51,0.47,10.7,6
7.2,0.51,0.24,10,0.093,35000,197000,0.9981,3.41,0.47,9,5
7.5,0.21,0.34,1.2,0.06,26000,111000,0.9931,3.51,0.47,10.7,6
5.3,0.3,0.2,1.1,0.077,48000,166000,0.9944,3.3,0.54,8.7,4
8,0.26,0.36,2,0.054,30000,121000,0.992,3.09,0.72,11.6,7
7,0.21,0.28,7.5,0.07,45000,185000,0.9966,3.34,0.55,9.4,5
6.7,0.26,0.26,4,0.079,35500,216000,0.9956,3.31,0.68,9.5,5
6.7,0.26,0.26,4.1,0.073,36000,202000,0.9956,3.3,0.67,9.5,5
8.1,0.26,0.37,1.9,0.072,48000,159000,0.9949,3.37,0.7,10.9,6
8.3,0.22,0.38,14.8,0.054,32000,126000,1.0002,3.22,0.5,9.7,5
6.4,0.3,0.51,5.5,0.048,62000,172000,0.9942,3.08,0.45,9.1,6
7.5,0.19,0.34,2.6,0.037,33000,125000,0.9923,3.1,0.49,11.1,7
8.8,0.33,0.44,6.35,0.024,9000,87000,0.9917,2.96,0.4,12.6,7
6.9,0.2,0.36,1.5,0.031,38000,147000,0.9931,3.35,0.56,11,6
8,0.37,0.32,1.6,0.04,32000,166000,0.992,3,0.55,11.3,7
8.3,0.22,0.38,14.8,0.054,32000,126000,1.0002,3.22,0.5,9.7,5
8.2,0.29,0.33,9.1,0.036,28000,118000,0.9953,2.96,0.4,10.9,7
7.7,0.34,0.3,8,0.048,25000,192000,0.9951,2.97,0.47,10.9,5
6.2,0.55,0.45,12,0.049,27000,186000,0.9974,3.17,0.5,9.3,6
6.4,0.4,0.19,3.2,0.033,28000,124000,0.9904,3.22,0.54,12.7,7
7.5,0.28,0.33,7.7,0.048,42000,180000,0.9974,3.37,0.59,10.1,6
7.8,0.26,0.44,1.3,0.037,43000,132000,0.9944,3.18,0.65,10,5
6.5,0.26,0.34,16.3,0.051,56000,197000,1.0004,3.49,0.42,9.8,5
6.3,0.34,0.29,6.2,0.046,29000,227000,0.9952,3.29,0.53,10.1,6
6.8,0.15,0.33,4.7,0.059,31000,118000,0.9956,3.43,0.39,9,7
6.3,0.27,0.25,5.8,0.038,52000,155000,0.995,3.28,0.38,9.4,6
6.3,0.27,0.25,5.8,0.038,52000,155000,0.995,3.28,0.38,9.4,6
7.4,0.2,0.37,16.95,0.048,43000,190000,0.9995,3.03,0.42,9.2,6
6.3,0.23,0.21,5.1,0.035,29000,142000,0.9942,3.36,0.33,10.1,7
7.3,0.31,0.69,10.2,0.041,58000,160000,0.9977,3.06,0.45,8.6,5
5.2,0.24,0.45,3.8,0.027,21000,128000,0.992,3.55,0.49,11.2,8
7,0.24,0.32,1.3,0.037,39000,123000,0.992,3.17,0.42,11.2,8
7.4,0.2,0.37,16.95,0.048,43000,190000,0.9995,3.03,0.42,9.2,6
7,0.17,0.33,4,0.034,17000,127000,0.9934,3.19,0.39,10.6,7
8.3,0.21,0.58,17.1,0.049,62000,213000,1.0006,3.01,0.51,9.3,6
7.2,0.21,0.35,14.5,0.048,35000,178000,0.9982,3.05,0.47,8.9,6
7.1,0.21,0.4,1.2,0.069,24000,156000,0.9928,3.42,0.43,10.6,6
8.4,0.17,0.31,6.7,0.038,29000,132000,0.9945,3.1,0.32,10.6,7
